Percentage in Communication skills,Hours working per day,Logical Quotient rating,hackathons,coding skills rating,public speaking points,can work long time before system?,self-learning capability?,Extra-courses did,talenttests taken?,olympiads,reading and writing skills,memory capability score,Job/Higher Studies?,Taken inputs from seniors or elders,interested in games,Gentle or Tuff behaviour?,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role,certifications_code,workshops_code,Interested subjects_code,interested career area _code,Type of company want to settle in?_code,Interested Type of Books_code
0.61,9,4,0,4,8,1,1,1,0,1,2,2,1,0,0,1,0,0,1,0,Database Developer,8,0,4,4,8,21
0.91,12,7,1,2,3,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,Portal Administrator,5,2,7,0,4,5
0.94,11,1,4,1,3,1,0,1,0,1,0,2,1,1,1,1,0,0,0,1,Portal Administrator,0,7,6,2,5,29
0.69,7,1,1,2,5,0,1,0,1,0,1,2,1,0,0,0,0,1,1,1,Systems Security Administrator,6,1,7,5,7,23
0.73,4,5,4,6,3,0,0,0,0,0,0,2,1,0,1,1,0,0,1,1,Business Systems Analyst,0,0,0,5,9,7
0.82,11,5,3,8,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,Software Systems Engineer,6,2,9,4,7,27
0.77,6,3,2,3,3,0,0,1,0,0,2,0,0,0,0,0,1,0,1,1,Database Developer,7,0,8,3,0,10
0.6,12,2,1,6,6,1,0,0,0,1,0,2,1,0,0,1,1,1,0,0,Business Intelligence Analyst,7,0,8,2,0,23
0.9,10,5,2,4,8,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,Business Systems Analyst,4,6,1,2,0,18
0.81,10,9,0,5,4,0,0,1,1,1,2,0,0,0,0,0,0,0,1,0,CRM Technical Developer,0,1,5,0,9,22
0.89,8,6,2,3,9,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,Mobile Applications Developer,3,2,8,3,5,7
0.85,8,3,6,9,7,0,1,0,1,1,1,2,1,1,0,1,0,1,1,0,UX Designer,5,4,8,5,7,1
0.79,8,2,2,8,6,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,CRM Technical Developer,1,3,4,4,6,30
0.91,12,5,3,6,5,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,Business Systems Analyst,6,6,8,2,7,3
0.62,9,6,2,3,8,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,Quality Assurance Associate,5,4,3,3,7,18
0.68,4,7,6,5,8,1,1,1,1,0,1,2,1,0,0,1,1,0,0,0,Web Developer,4,5,7,5,7,5
0.6,11,7,5,5,4,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,Web Developer,0,4,1,2,5,19
0.6,4,9,6,3,4,0,1,0,0,0,1,2,0,0,1,1,0,1,1,0,Information Security Analyst,3,7,6,3,9,18
0.82,12,8,0,7,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,CRM Business Analyst,5,6,0,0,8,8
0.69,12,6,0,2,8,0,1,0,1,1,2,2,0,1,0,1,0,0,0,0,Information Security Analyst,3,5,8,1,4,3
0.7,4,5,0,2,5,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,Database Developer,0,3,8,3,3,17
0.84,5,8,3,2,8,1,1,1,0,1,2,0,1,1,0,1,0,0,1,1,Business Systems Analyst,3,5,6,3,0,15
0.65,4,9,6,4,5,0,0,0,1,0,1,2,0,0,1,0,0,0,0,1,Quality Assurance Associate,7,5,4,4,0,2
0.69,9,9,5,7,6,0,1,1,1,1,2,0,0,0,0,0,0,1,0,0,Technical Support,8,6,5,5,6,5
0.66,4,7,5,5,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,Technical Support,2,6,8,1,9,5
0.91,12,5,0,4,7,1,1,0,1,0,1,2,1,1,1,1,1,0,0,1,Information Security Analyst,1,6,7,2,4,15
0.67,4,8,5,1,8,0,1,0,0,1,2,1,1,0,1,1,0,0,1,0,Business Intelligence Analyst,6,2,9,0,4,27
0.75,12,9,1,3,5,1,1,1,0,1,0,2,0,0,1,1,1,1,0,0,Project Manager,0,1,8,3,8,9
0.87,11,1,0,1,8,1,0,1,0,1,2,1,1,1,0,0,0,0,0,0,Information Technology Manager,0,6,4,1,0,2
0.85,4,3,1,2,6,1,0,0,1,1,2,0,1,0,1,0,0,1,1,1,Web Developer,0,6,7,0,1,17
0.9,4,2,3,9,8,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,Programmer Analyst,6,1,5,0,0,27
0.75,11,5,6,3,1,0,1,0,0,1,2,0,0,0,1,1,1,1,0,0,Business Systems Analyst,2,3,4,5,9,5
0.87,7,7,4,7,5,1,1,0,0,1,2,2,0,1,0,1,1,0,0,0,Systems Security Administrator,8,6,5,5,2,16
0.65,10,9,0,2,5,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,Business Systems Analyst,2,2,8,4,2,5
0.76,11,8,4,2,9,1,0,0,0,1,0,2,0,1,1,1,1,1,1,0,Design & UX,0,7,5,3,3,30
0.8,9,8,6,2,9,0,1,0,1,1,2,2,0,0,1,1,1,1,0,1,Solutions Architect,3,4,0,5,4,5
0.78,11,3,6,9,5,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,Business Systems Analyst,0,5,0,0,7,11
0.94,9,8,5,7,4,0,1,0,0,0,2,0,0,0,0,1,0,1,0,1,Systems Analyst,8,0,6,0,0,11
0.63,8,8,0,4,7,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,Network Security Administrator,2,5,5,5,2,0
0.62,10,6,2,1,8,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,Data Architect,0,4,4,0,4,1
0.84,5,5,1,6,9,1,1,1,1,1,0,2,1,1,1,0,1,0,0,1,CRM Technical Developer,6,3,3,5,0,0
0.64,5,9,1,1,9,0,1,0,1,0,1,2,0,0,1,1,1,1,0,0,Software Developer,0,7,3,1,8,9
0.94,5,3,2,6,7,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,E-Commerce Analyst,5,1,1,3,1,12
0.88,11,7,4,8,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,Technical Services/Help Desk/Tech Support,2,7,3,0,4,5
0.78,8,9,0,5,8,1,1,0,1,0,0,2,1,1,1,0,1,0,1,0,Systems Analyst,5,6,2,3,1,10
0.73,5,5,6,8,4,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,Information Technology Auditor,8,6,7,0,7,6
0.7,4,7,4,2,9,1,1,0,0,1,0,2,1,1,0,1,1,0,0,0,Network Security Administrator,6,6,5,3,0,2
0.78,7,7,6,5,5,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,Database Manager,8,0,3,4,2,16
0.84,9,7,1,3,5,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,Web Developer,6,2,6,1,3,27
0.81,10,5,5,9,5,0,0,0,1,0,2,0,0,1,0,1,1,0,1,0,Information Security Analyst,1,2,0,4,6,8
0.92,12,2,1,1,5,1,1,0,0,1,2,0,1,1,1,1,1,1,0,0,E-Commerce Analyst,4,2,8,3,8,26
0.69,11,4,3,2,4,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,Technical Services/Help Desk/Tech Support,5,0,6,1,4,6
0.78,4,5,0,6,2,1,1,0,1,1,0,0,1,0,1,1,0,1,1,0,Applications Developer,4,6,9,5,0,28
0.71,6,8,1,4,6,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,Software Systems Engineer,4,2,6,3,1,5
0.73,10,3,5,2,8,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,CRM Technical Developer,3,0,4,0,6,27
